Job Title,Company Name,Job Location,Salary Information,Mode of Work,Industry,State,Lower Salary Range USD(k/yr),Upper Salary Range USD(k/yr),Mean Salary Range USD(k/yr)
".NET Software Engineer, Eden Prairie, MN",Noir,"Eden Prairie, MN","$90K/yr - $100K/yr · Vision, 401(k), +10 benefits",Hybrid,Tech,MN,90.0,100.0,95.0
Director of Product Management ,CyberCoders,"The Woodlands, TX","$165K/yr - $195K/yr · Vision, 401(k), +1",On-site,Other,TX,165.0,195.0,180.0
Physician Maternal-Fetal Medicine - Perinatology ,CompHealth,"Poughkeepsie, NY",$450K/yr - $600K/yr,On-site,Other,NY,450.0,600.0,525.0
Civil Engineer ,CyberCoders,"Providence, RI",$70K/yr - $100K/yr,On-site,Tech,RI,70.0,100.0,85.0
Recruiter (Entry-Level),Barton Careers,"Tempe, AZ","$40K/yr + Commission · 401(k), Medical, +2 benefits",On-site,Other,AZ,40.0,40.0,40.0
Physician Pediatrics ,CompHealth,"Victorville, CA",$205K/yr - $230K/yr,On-site,Other,CA,205.0,230.0,217.5
IT Operations Director ,"firstPRO, Inc","Newark, DE",Up to $185K/yr · 4 benefits,On-site,Other,DE,185.0,185.0,185.0
Tax Advisor - 151652 ,Atrium,"Boston, MA",$130K/yr - $195K/yr,Hybrid,Other,MA,130.0,195.0,162.5
Associate Brand Marketing Manager,Planet Interactive,"Culver City, CA",$67.33/hr,On-site,Retail,CA,140.0464,140.0464,140.0464
MRI Technologist,TAG MedStaffing,"Bronx, NY",$50/hr - $60/hr · 5 benefits,On-site,Other,NY,104.0,124.8,114.4
Autocad Technician ,Insight Global,"Akron, OH","$23/hr - $25/hr · Vision, +2 benefits",On-site,Other,OH,47.84,52.0,49.92
Director of Accounting ,Robert Half,"Honolulu, HI",$175K/yr - $200K/yr · 4 benefits,On-site,Business,HI,175.0,200.0,187.5
RN - MedSurg/Tele ,Russell Tobin,"Everett, WA","$2,699.20/week · Telehealth +1 · 401(k), +1",Remote,Other,WA,2.6992,2.6992,2.6992
Business Operations Specialist ,Synergis,"Austin, TX","$55.70/hr - $71.90/hr · 401(k), +5 benefits",Hybrid,Other,TX,115.856,149.552,132.704
Assistant Controller ,WhiteCap Search,"New York, NY",$170K/yr - $300K/yr,On-site,Other,NY,170.0,300.0,235.0
PA - Orthopedics ,WhiteCap Search,"Passaic, NJ",$150K/yr - $175K/yr,On-site,Other,NJ,150.0,175.0,162.5
RN - Maternal Child Float Pool,The Job Network,"Portland, OR",$49.77/hr - $73.13/hr · Night · Pediatrics & Neonatal +1,On-site,Other,OR,103.5216,152.1104,127.816
GenAI ML/MLOps Engineering Lead (Remote),Jobs via eFinancialCareers,"Phoenix, AZ",$108K/yr - $215K/yr,Remote,Tech,AZ,108.0,215.0,161.5
RN - PCU ,Russell Tobin,"Nashville, TN","$1,930.32/week · Perioperative & Operating Room · 401(k), +1",On-site,Other,TN,1.93032,1.93032,1.93032
Navigator RN,The Job Network,"Portland, OR",$45.22/hr - $71.58/hr · Day · Hematology & Oncology,On-site,Other,OR,94.0576,148.88639999999998,121.47199999999998
Senior Property Accountant ,Robert Half,Greater Chicago Area,Up to $105K/yr · 4 benefits,Hybrid,Business,,105.0,105.0,105.0
RN - OR ,Russell Tobin,"Oklahoma City, OK","$2,254.32/week · Perioperative & Operating Room · 401(k), +1",On-site,Other,OK,2.2543200000000003,2.2543200000000003,2.2543200000000003
Financial Analyst ,Venteon,Grand Rapids Metropolitan Area,$70K/yr - $90K/yr · 4 benefits,On-site,Other,,70.0,90.0,80.0
Maintenance Technician (Morganton NC) ,CyberCoders,"Hickory, NC",$35/hr - $50/hr · 401(k),On-site,Other,NC,72.8,104.0,88.4
Maintenance Manager - FIRST SHIFT - Food/Bev Manufacturing ,CyberCoders,"Richmond, IN",$100K/yr - $120K/yr · 401(k),On-site,Manufacturing,IN,100.0,120.0,110.0
RN - Critical Care 0.6 FTE Night,The Job Network,"Portland, OR",$49.77/hr - $73.13/hr · Night · Critical and Intensive Care,On-site,Other,OR,103.5216,152.1104,127.816
RN Fellow - Emergency Services *PMH*,The Job Network,"Milwaukie, OR","$45.12/hr - $64.51/hr · Emergency Department · 401(k), +1",On-site,Other,OR,93.8496,134.1808,114.0152
Director of Finance and Accounting (Hybrid Schedule),Connexa Search Group,"Greenville-Spartanburg-Anderson, South Carolina Area",Up to $160K/yr · 8 benefits,Hybrid,Business,SC,160.0,160.0,160.0
RN - Benedictine Nursing Center,The Job Network,"Mount Angel, OR","$35.35/hr - $55.97/hr · Long-term Care · 401(k), +1",On-site,Other,OR,73.528,116.4176,94.9728
Charge RN - Orthopedics,The Job Network,"Portland, OR",$55.95/hr - $77.13/hr · Night · Orthopedics,On-site,Other,OR,116.376,160.4304,138.4032
Tax Preparer ,Addison Group,Oklahoma City Metropolitan Area,$25/hr - $35/hr · 4 benefits,On-site,Other,OK,52.0,72.8,62.4
Staff Accountant ,Century Group,"Santa Clarita, California, United States",$65K/yr - $90K/yr,On-site,Business,CA,65.0,90.0,77.5
Head of Digital Marketing,SBH Fashion,"New York, NY",$175K/yr - $225K/yr,Hybrid,Other,NY,175.0,225.0,200.0
Financial IT Project Manager,neteffects,"Chesterfield, MO",$65/hr - $70/hr · 4 benefits,Hybrid,Other,MO,135.2,145.6,140.39999999999998
QCM / Superintendent - Dredging + Marine Construction - Travel ,CyberCoders,"Galveston, TX",$95K/yr - $125K/yr,On-site,Other,TX,95.0,125.0,110.0
"UX Designer 3 for for a global computer software company in Redmond, WA",OSI Engineering,United States,Up to $59/hr,Remote,Other,,122.72,122.72,122.72
Dedicated Team Driver - Home Weekly,The Job Network,"Bessemer, AL","$33.07/hr · Medical, 401(k)",On-site,Other,AL,68.7856,68.7856,68.7856
LPN/LVN - Acute Care ,Russell Tobin,"Grand Island, NE","$1,335.24/week · 401(k), +1",On-site,Other,NE,1.33524,1.33524,1.33524
Senior Tax Associate,Navigate Search,"Melville, NY",$85K/yr - $105K/yr · 4 benefits,On-site,Retail,NY,85.0,105.0,95.0
Staff Accountant ,Robert Half,Greater Chicago Area,$65K/yr - $75K/yr · 3 benefits,Hybrid,Business,,65.0,75.0,70.0
Director of Hospitality,Harper Associates,Detroit Metropolitan Area,$80K/yr - $100K/yr · 4 benefits,Hybrid,Other,,80.0,100.0,90.0
Accountant ,Addison Group,"Oklahoma City, OK",$60K/yr - $65K/yr · 6 benefits,On-site,Business,OK,60.0,65.0,62.5
Enterprise Resources Planning Analyst (Plex) ,Venteon,"Madison, AL",Up to $85K/yr,On-site,Other,AL,85.0,85.0,85.0
Full Stack Engineer,Narae Partners,"San Francisco, CA",$180K/yr - $230K/yr,Hybrid,Tech,CA,180.0,230.0,205.0
Grant Accountant ,Venteon,Detroit Metropolitan Area,$80K/yr - $90K/yr,Hybrid,Business,,80.0,90.0,85.0
RN - PACU 0.75 FTE Variable,The Job Network,"Oregon City, OR","$45.21/hr - $65.10/hr · Perioperative & Operating Room · 401(k), +1",On-site,Other,OR,94.0368,135.408,114.7224
RN - L&D ,Russell Tobin,"Old Bridge, NJ","$2,484.36/week · Obstetrics & Gynecology · 401(k), +1",On-site,Other,NJ,2.48436,2.48436,2.48436
Supervisor Clinic RN - Sunset Internal and Family medicine,The Job Network,"Portland, OR",$47.98/hr - $75.94/hr · Day · Primary Care,On-site,Other,OR,99.7984,157.9552,128.8768
Medical Assistant ,Insight Global,"St Paul, MN",$17/hr - $26/hr · 4 benefits,On-site,Health,MN,35.36,54.08,44.72
Building Maintenance Associate ,CyberCoders,"Cleveland, OH",$30/hr - $32/hr,On-site,Retail,OH,62.4,66.56,64.48
RN Fellow - Medical-Surgical B *PSVMC*,The Job Network,"Portland, OR",$48.32/hr - $66.65/hr · Night · Medical-Surgical,On-site,Health,OR,100.5056,138.632,119.56880000000001
Controller ,"Elite Placement Group, LLC","Greenwich, CT",$180K/yr - $220K/yr,Hybrid,Other,CT,180.0,220.0,200.0
Certified Executive Housekeeper,PRCO Services,"Hines, IL",$54K/yr - $58K/yr,On-site,Business,IL,54.0,58.0,56.0
Account Executive,Kinect,"Culver City, CA",$60K/yr - $75K/yr + Commission,On-site,Business,CA,60.0,75.0,67.5
Environmental Engineer ,"CPS, Inc.","Minneapolis, MN",$100K/yr - $140K/yr,On-site,Tech,MN,100.0,140.0,120.0
Sales Analyst ,JAC Recruitment,"Irvine, CA","$80K/yr · Medical, 401(k)",Hybrid,Retail,CA,80.0,80.0,80.0
RN - NICU Night Shift with Multiple FTE,The Job Network,"Portland, OR",$49.77/hr - $73.13/hr · Night · Pediatrics & Neonatal,On-site,Other,OR,103.5216,152.1104,127.816
Associate Director of Generative AI Platform Engineering (Hybrid or Remote),Jobs via eFinancialCareers,"Columbia, SC",$125K/yr - $220K/yr,Hybrid,Tech,SC,125.0,220.0,172.5
CNA - LTC ,Russell Tobin,"York County, ME","$1,510.20/week · Long-term Care · 401(k), +1",On-site,Other,ME,1.5102,1.5102,1.5102
"Nurse Practitioner or Physician Assistant - Fresno, CA",The Job Network,"Fresno, CA",$110K/yr - $120K/yr · Day · Primary Care,On-site,Health,CA,110.0,120.0,115.0
Instructional Designer ,Infojini Inc,"Raleigh, NC",$37/hr - $38/hr,Hybrid,Other,NC,76.96,79.04,78.0
RN - Home Health,The Job Network,"Medford, OR",$37.48/hr - $59.32/hr · Day · Home Health +1,On-site,Health,OR,77.9584,123.38560000000001,100.672
Vice President of New Business Development ,Net2Source Inc.,"Somerset, NJ",$130K/yr - $150K/yr · 3 benefits,On-site,Other,NJ,130.0,150.0,140.0
Technical Writer ,Infojini Inc,"Boston, MA",$30/hr - $35/hr,Hybrid,Media,MA,62.4,72.8,67.6
SUBCONTRACT CLOSEOUT - 100% REMOTE ,"ALTA IT Services, LLC",United States,$38/hr - $45/hr,Remote,Other,,79.04,93.6,86.32
"Dentist - $200,000-$350,000/year",The Job Network,"New Holland, PA",$200K/yr - $350K/yr,On-site,Other,PA,200.0,350.0,275.0
RN - Tele ,Russell Tobin,"Salt Lake City, UT","$2,130.12/week · Telehealth · 401(k), +1",Remote,Other,UT,2.13012,2.13012,2.13012
".NET Software Engineer, Watervliet, MI",Noir,"Watervliet, MI","$80K/yr - $90K/yr · 401(k), +11 benefits",Hybrid,Tech,MI,80.0,90.0,85.0
Purchasing Manager ,Randstad USA,"Middletown, OH",$75K/yr - $90K/yr · 401(k),On-site,Other,OH,75.0,90.0,82.5
Azure Cloud Native Security ,Net2Source Inc.,"Elkhart, IN",$60/hr - $62/hr,On-site,Other,IN,124.8,128.96,126.88
Managing Recruitment Consultant - Smart & Emerging Technology - Los Angeles,LHi Group,"Los Angeles, CA",$200K/yr · 401(k),On-site,Business,CA,200.0,200.0,200.0
RN - Labor and Delivery,The Job Network,"Portland, OR",$49.77/hr - $73.13/hr · Night · Obstetrics & Gynecology,On-site,Other,OR,103.5216,152.1104,127.816
Legal Assistant/Paralegal,The Legal Registry Staffing,Greater Tampa Bay Area,"$55K/yr - $65K/yr · 401(k), +5 benefits",On-site,Law,,55.0,65.0,60.0
MEP/BAS Engineer ,CyberCoders,"New York, NY",$80K/yr - $120K/yr · 401(k),On-site,Tech,NY,80.0,120.0,100.0
ServiceNow Software Engineer IV,Encore Talent Solutions,"Cincinnati, OH",$70/hr,On-site,Tech,OH,145.6,145.6,145.6
Microbiologist ,Planet Pharma,"Berkeley, CA",$28/hr - $33/hr · 4 benefits,On-site,Other,CA,58.24,68.64,63.44
Jr. Software Engineer ,ConsultNet Technology Services and Solutions,"McLean, VA",$75K/yr - $85K/yr,Hybrid,Tech,VA,75.0,85.0,80.0
"Trademark Paralegal, AmLaw100",Plona Partners,"Chicago, IL",$80K/yr - $135K/yr,Hybrid,Law,IL,80.0,135.0,107.5
Nurse Practitioner NP,The Job Network,"Norwich, CT",$46.03/hr - $99.14/hr · Primary Care · 401(k),On-site,Health,CT,95.7424,206.21120000000002,150.97680000000003
"Data Governance Analyst, Sales Operations: 24-03054","Akraya, Inc.","Plano, TX",$28/hr - $30/hr,On-site,Tech,TX,58.24,62.4,60.32
Audiologist - Fairfax VA,The Job Network,"Woodbridge, VA",$120K/yr · Medical,On-site,Other,VA,120.0,120.0,120.0
Paramedic,StaffDash,"Port Arthur, TX","$6,220/month",On-site,Other,TX,6.22,6.22,6.22
RN - ICU ,Russell Tobin,"Nashville, TN","$1,848.24/week · Critical and Intensive Care · 401(k), +1",On-site,Other,TN,1.84824,1.84824,1.84824
"Senior Manager, Tax - International Business",Communicate Recruitment Solutions,"Boston, MA",$160K/yr - $190K/yr,Hybrid,Other,MA,160.0,190.0,175.0
"Permanent Staff Step down RN job in Dayton, OH - Make $32 to $44/hour ",Aya Healthcare,"Dayton, OH",$32/hr - $44/hr · Evenings · Neurology +4,On-site,Other,OH,66.56,91.52,79.03999999999999
Family Medicine Physician | Primary Care Physician |Internal Medicine Physician ,AMN Healthcare Physician Solutions,"Antioch, CA",$250K/yr - $320K/yr,On-site,Other,CA,250.0,320.0,285.0
Forensic Accounting Senior ,Proven Recruiting,"San Diego, CA",$110K/yr,On-site,Business,CA,110.0,110.0,110.0
Tax Preparer,RedBalloon,"Milwaukie, OR",$35/hr - $50/hr,On-site,Other,OR,72.8,104.0,88.4
RN - Emergency Services Per Diem Variable,The Job Network,"Seaside, OR",$48.97/hr - $69.01/hr · Per diem · Emergency Department,On-site,Other,OR,101.85759999999999,143.54080000000002,122.6992
Human Resources Business Partner ,Addison Group,"Austin, Texas Metropolitan Area",$185K/yr,Hybrid,Business,TX,185.0,185.0,185.0
"Permanent Staff Operating Room RN job in Cape Girardeau, MO - Make $29/hour ",Aya Healthcare,"Cape Girardeau, MO",$29/hr · Day · Perioperative & Operating Room,On-site,Other,MO,60.32,60.32,60.32
Legal Support Coordinator ,Addison Group,"Los Angeles, CA",$68K/yr - $71K/yr,On-site,Law,CA,68.0,71.0,69.5
Registered Nurse,Travel Care Hawaii,"Hawaii, United States",$52/hr - $58/hr · Evenings +3 · Home Health +31,On-site,Health,HI,108.16,120.64,114.4
RN - OR ,Russell Tobin,"Madison, WI","$2,806.20/week · Perioperative & Operating Room · 401(k), +1",On-site,Other,WI,2.8062,2.8062,2.8062
Attorney - Entry Level - Insurance Defense Litigation,Lexitas Legal Talent Outsourcing,"Florham Park, NJ",$90K/yr - $115K/yr,Hybrid,Law,NJ,90.0,115.0,102.5
Medical Malpractice Attorney ,Synectics Inc.,"Hartford, CT","$100K/yr - $130K/yr · 401(k), +1",Hybrid,Health,CT,100.0,130.0,115.0
"Women's Apparel Wholesale Sales Manager-Pasadena, CA ",24 Seven Talent,"Pasadena, CA",$90K/yr - $125K/yr,On-site,Retail,CA,90.0,125.0,107.5
Lead Software Architect,Franklin Fitch,"Boston, MA",$150K/yr - $200K/yr · 6 benefits,Hybrid,Other,MA,150.0,200.0,175.0
Cloud Architect ,Insight Global,United States,"$80/hr - $95/hr · Vision, +2 benefits",Remote,Other,,166.4,197.6,182.0
Entry level Sales,RHM Staffing Solutions,"Schaumburg, IL","$55K/yr + Bonus, Commission · 4 benefits",On-site,Retail,IL,55.0,55.0,55.0
"Unix Infrastructure Operations, AVP",Jobs via eFinancialCareers,"Quincy, MA",$80K/yr - $132.5K/yr,On-site,Other,MA,80.0,132.5,106.25
RN - Maternity Services,The Job Network,"Newberg, OR",$41.74/hr - $60.25/hr · Night +1 · Obstetrics & Gynecology,On-site,Other,OR,86.8192,125.32,106.0696
Maintenance Technician (Day Shift) - AM shift ,Sterling Engineering,"Plano, IL",$24/hr - $35/hr,On-site,Other,IL,49.92,72.8,61.36
Recruitment Coordinator,Infrassocs,New York City Metropolitan Area,$75K/yr + Bonus,Hybrid,Other,NY,75.0,75.0,75.0
Administrative Assistant/Client Service Assistant,"Prestige Staffing, Inc.","Denver, CO",$60K/yr,Hybrid,Other,CO,60.0,60.0,60.0
Account Executive,Employers Options,"Kahului, HI",$70K/yr · 4 benefits,On-site,Business,HI,70.0,70.0,70.0
Senior Staff Software Engineer,Forward Progress Staffing,"California, United States",$200K/yr - $240K/yr · 5 benefits,Remote,Tech,CA,200.0,240.0,220.0
Remote Unclaimed Property Consultant (Escheatment Expert) ,Henderson Harbor Group,United States,$30/hr - $60/hr,Remote,Business,,62.4,124.8,93.6
Navigator RN - Hematology Oncology,The Job Network,"Portland, OR",$45.22/hr - $71.58/hr · Day · Hematology & Oncology,On-site,Other,OR,94.0576,148.88639999999998,121.47199999999998
Oracle Cloud Developer - REMOTE ,"The Squires Group, Inc.","District of Columbia, United States","$100K/yr - $125K/yr · 401(k), +1",Remote,Tech,,100.0,125.0,112.5
Site Sanitation Manager (3rd shift),Titan Executive Search,"Aberdeen, SD",$88K/yr - $100K/yr,On-site,Other,SD,88.0,100.0,94.0
C++ Engineer ,Insight Global,"Virginia Beach, VA",$90K/yr - $120K/yr · 4 benefits,Hybrid,Tech,VA,90.0,120.0,105.0
Payroll Manager ,Robert Half,"Baltimore, MD",$80K/yr - $100K/yr · 5 benefits,On-site,Other,MD,80.0,100.0,90.0
Computational Scientist ,Planet Pharma,San Francisco Bay Area,$50/hr - $80/hr,On-site,Other,,104.0,166.4,135.2
Medical Reviewer (Pharmacovigilance) ,Planet Pharma,"Mercerville, NJ",$53/hr,On-site,Health,NJ,110.24,110.24,110.24
Senior Manager of Financial Close and Reporting ,StevenDouglas,"Austin, Texas Metropolitan Area","$170K/yr - $200K/yr + Bonus, Stock · 7 benefits",Hybrid,Other,TX,170.0,200.0,185.0
Axiom Developer,Jobs via eFinancialCareers,"Plano, TX",$100K/yr - $115K/yr · 2 benefits,On-site,Tech,TX,100.0,115.0,107.5
Registered Nurse (RN),The Job Network,"Redding, CA",$18/hr - $50/hr · Home Health,On-site,Health,CA,37.44,104.0,70.72
Senior Property Accountant ,Century Group,"Beverly Hills, CA",$85K/yr - $100K/yr,On-site,Business,CA,85.0,100.0,92.5
Assistant Controller ,Robert Half,"Woodbury, NY",$80K/yr - $100K/yr · 4 benefits,On-site,Other,NY,80.0,100.0,90.0
"Locum General Dentist job in Boiling Springs, SC - Make $95/hr - $115/hr",Aya Locums,"Boiling Springs, SC",$95/hr,On-site,Other,SC,197.6,197.6,197.6
Fircosoft Developer ,Net2Source Inc.,"Pittsburgh, PA",$65/hr - $75/hr,On-site,Tech,PA,135.2,156.0,145.6
International Tax Manager ,Proven Recruiting,"Houston, TX",$130K/yr - $150K/yr,On-site,Other,TX,130.0,150.0,140.0
Correctional Officer - Adult Corrections Facility ,Hennepin County,"Plymouth, MN",$54.5K/yr - $82.5K/yr,On-site,Other,MN,54.5,82.5,68.5
Staff Accountant ,Proven Recruiting,"San Diego, CA",$55K/yr - $75K/yr,On-site,Business,CA,55.0,75.0,65.0
SAS Programmer II ,Planet Pharma,"Basking Ridge, NJ",$80/hr,On-site,Other,NJ,166.4,166.4,166.4
Corporate Paralegal - Corporate & Transactional ,Inceed,"Kansas City, MO",$80K/yr - $120K/yr,On-site,Law,MO,80.0,120.0,100.0
RN - Med Surg ,Russell Tobin,"Chapel Hill, NC","$1,879.92/week · Medical-Surgical · 401(k), +1",On-site,Other,NC,1.87992,1.87992,1.87992
RN - Trauma ,Russell Tobin,"Oklahoma City, OK","$2,254.32/week · Emergency Department · 401(k), +1",On-site,Other,OK,2.2543200000000003,2.2543200000000003,2.2543200000000003
Power System Engineer ,Insight Global,"Kentucky, United States","$100K/yr - $140K/yr · Vision, +3 benefits",On-site,Tech,KY,100.0,140.0,120.0
Recruiter ,Goodwin Recruiting,"Chesapeake, VA",$75K/yr - $175K/yr,Remote,Other,VA,75.0,175.0,125.0
Associate Caregiver Health RN *Onsite*,The Job Network,"Medford, OR","$37.48/hr - $59.32/hr · 401(k), +1",On-site,Health,OR,77.9584,123.38560000000001,100.672
Sales Representative,The Job Network,"Chula Vista, CA","$49K/yr - $57K/yr · 401(k), +1",On-site,Retail,CA,49.0,57.0,53.0
Help Desk Specialist ,Robert Half,"Lake Villa, IL",$50K/yr - $55K/yr · 5 benefits,On-site,Other,IL,50.0,55.0,52.5
Nurse Practitioner / Physician Assistant ,HealthCare Support,"Phoenix, AZ",$120K/yr - $145K/yr · Day · Primary Care +2,On-site,Health,AZ,120.0,145.0,132.5
RN - Cardiac Telemetry,The Job Network,"Portland, OR",$48.32/hr - $66.65/hr · Night · Cardiology,On-site,Other,OR,100.5056,138.632,119.56880000000001
Outside Sales Representative,Hunter Hamilton,"Crown Point, IN","$80K/yr - $100K/yr · Vision, 401(k)",On-site,Retail,IN,80.0,100.0,90.0
RN - PCU ,Russell Tobin,"Saginaw, MI","$2,055.96/week · Perioperative & Operating Room · 401(k), +1",On-site,Other,MI,2.0559600000000002,2.0559600000000002,2.0559600000000002
Industrial Maintenance Technician ,Sterling Engineering,"West Columbia, SC",$26/hr - $32/hr,On-site,Other,SC,54.08,66.56,60.32
Program Coordinator,"Snelling Staffing El Paso, Texas","Clovis, NM",$30/hr - $35/hr,On-site,Other,NM,62.4,72.8,67.6
Attorney - General Liability Associate - Hybrid Remote - Prominent Regional Law Firm,Lexitas Legal Talent Outsourcing,"Nassau County, NY",$120K/yr - $175K/yr,Hybrid,Retail,NY,120.0,175.0,147.5
RN - MedSurg/Tele ,Russell Tobin,"Plymouth, MA","$2,576.16/week · Telehealth +1 · 401(k), +1",Remote,Other,MA,2.57616,2.57616,2.57616
RN-Neuro ICU *0.9 FTE Night*,The Job Network,"Portland, OR",$48.32/hr - $66.65/hr · Night · Critical and Intensive Care +1,On-site,Other,OR,100.5056,138.632,119.56880000000001
Maintenance Technician - PM shift ,Sterling Engineering,"Plano, IL",$24/hr - $30/hr,On-site,Other,IL,49.92,62.4,56.16
Healthcare Recruiter (W2 ONLY),Dash Technologies Inc.,United States,$22.80/hr,Remote,Health,,47.424,47.424,47.424
Electrical Engineer ,"Liberty Personnel Services, Inc.","South Plainfield, NJ",$90K/yr - $130K/yr,On-site,Tech,NJ,90.0,130.0,110.0
Wellness Coach,EMERGE,"Phoenix, AZ",$20.25/hr,Remote,Other,AZ,42.12,42.12,42.12
VP of Manufacturing ,CyberCoders,"West Chester, OH",$130K/yr - $160K/yr,On-site,Manufacturing,OH,130.0,160.0,145.0
Assistant Controller ,Robert Half,"Los Angeles, CA",$120K/yr - $170K/yr · 4 benefits,On-site,Other,CA,120.0,170.0,145.0
Accounting Manager ,Venteon,Detroit Metropolitan Area,$125K/yr - $140K/yr · 4 benefits,On-site,Business,,125.0,140.0,132.5
EXECUTIVE ASSISTANT,"Manning Personnel Group, Inc.","Watertown, MA",$130K/yr,On-site,Business,MA,130.0,130.0,130.0
Entry Level Sales Trainee (Flint) ,Aerotek,"Flint, MI","$50K/yr - $60K/yr + Bonus, Commission · 401(k), +5 benefits",On-site,Retail,MI,50.0,60.0,55.0
Sr. Project Manager ,Horizontal Talent,"Minneapolis, MN",$75/hr - $90/hr,Remote,Other,MN,156.0,187.2,171.6
Site Reliability Engineer - Azure ,Motion Recruitment,"Dallas, TX",$60/hr - $70/hr,Hybrid,Tech,TX,124.8,145.6,135.2
Attorney - Trucking and Transportation Defense Litigation - Prominent Law Firm - Hybrid Remote,Lexitas Legal Talent Outsourcing,"Garden City, NY",$160K/yr - $185K/yr,Hybrid,Law,NY,160.0,185.0,172.5
RN - Psych ,Russell Tobin,"Salem, MA","$2,221.20/week · Behavioral Health · 401(k), +1",On-site,Other,MA,2.2211999999999996,2.2211999999999996,2.2211999999999996
Recruitment Coordinator ,Insight Global,"Washington, DC",$18/hr - $20/hr · 4 benefits,Hybrid,Other,DC,37.44,41.6,39.519999999999996
RN - ER ,Russell Tobin,"Morton, WA","$2,253.96/week · Emergency Department · 401(k), +1",On-site,Other,WA,2.25396,2.25396,2.25396
Industrial Mechanical Engineer ,Insight Global,"Macon, GA",$120K/yr - $150K/yr · 4 benefits,Hybrid,Tech,GA,120.0,150.0,135.0
Senior Accountant ,Robert Half,"Seattle, WA",$85K/yr - $105K/yr · 4 benefits,Hybrid,Business,WA,85.0,105.0,95.0
RN (Per Diem/On Call) - PACE/Elderplace,The Job Network,"Hillsboro, OR",$40.20/hr - $63.64/hr · Day +1 · Geriatrics +1,On-site,Other,OR,83.616,132.37120000000002,107.99360000000001
Art Director (Pharmaceutical) ,Creative Circle,"Irving, TX",$45/hr - $50/hr,Hybrid,Other,TX,93.6,104.0,98.8
Entry-Level Recruitment Consultant/Account Executive ,Tenth Revolution Group,"Dallas, TX","$43.5K/yr - $60K/yr · 401(k), +4 benefits",On-site,Business,TX,43.5,60.0,51.75
Senior Underwriter-Non-Fleet Transportation,General Search & Recruitment,"Chicago, IL",$75K/yr - $90K/yr · 401(k),Remote,Media,IL,75.0,90.0,82.5
Recruiter ,Goodwin Recruiting,"Columbia, MD",$75K/yr - $175K/yr,Remote,Other,MD,75.0,175.0,125.0
Business Development Manager ,Net2Source Inc.,"Plano, TX",$100K/yr - $130K/yr · 3 benefits,On-site,Other,TX,100.0,130.0,115.0
Pre-Press & Production Manager ,Creative Circle,"Los Angeles, California, United States",$75K/yr - $90K/yr,Hybrid,Manufacturing,CA,75.0,90.0,82.5
RN - MICU ,Russell Tobin,"Rochester, NY","$2,258.28/week · Critical and Intensive Care · 401(k), +1",On-site,Other,NY,2.25828,2.25828,2.25828
AWS System Engineer ,pro/source <IT>,"Miramar, FL",$110K/yr - $120K/yr · 4 benefits,On-site,Tech,FL,110.0,120.0,115.0
Data Governance Support Specialist ,"TalentBurst, an Inc 5000 company","Richmond, VA",$50/hr - $55/hr,Hybrid,Tech,VA,104.0,114.4,109.2
Director of AI - Manufacturing ONLY (1071144) ,The Judge Group,"Smyrna, GA",$200K/yr - $225K/yr,On-site,Manufacturing,GA,200.0,225.0,212.5
Global Head of External CyberSecurity Engagement,Jobs via eFinancialCareers,"Quincy, MA",$225K/yr - $337.5K/yr,On-site,Other,MA,225.0,337.5,281.25
RN - ICU,The Job Network,"Newberg, OR",$41.74/hr - $60.25/hr · Night · Critical and Intensive Care,On-site,Other,OR,86.8192,125.32,106.0696
Attorney - Insurance Defense Partner - Prominent Regional Law Firm - Hybrid Remote,Lexitas Legal Talent Outsourcing,New York City Metropolitan Area,$200K/yr - $300K/yr,Hybrid,Business,NY,200.0,300.0,250.0
SW LA Long Beach - LVN - License Vocational Nurse - School Health ,Ro Health,"Torrance, CA",$30/hr - $34/hr · 401(k),On-site,Health,CA,62.4,70.72,66.56
Enterprise Architect,PeopleCaddie,"Dallas, TX",$70/hr - $80/hr,Remote,Other,TX,145.6,166.4,156.0
Java Software Engineer ,Insight Global,"Reading, PA",$110K/yr - $120K/yr · 4 benefits,Hybrid,Tech,PA,110.0,120.0,115.0
"VP, Analytics & Data (A&D) Digital Marketing & Acquisition Analytics Team",Jobs via eFinancialCareers,"Jersey City, NJ",$100K/yr - $180K/yr,On-site,Tech,NJ,100.0,180.0,140.0
Attorney - General Liability - Boutique Law Firm - Financial District,Lexitas Legal Talent Outsourcing,"New York, NY",$100K/yr - $150K/yr,Hybrid,Law,NY,100.0,150.0,125.0
RN - ASU/MPU 1.0 FTE Variable,The Job Network,"Milwaukie, OR","$45.12/hr - $64.51/hr · 401(k), +1",On-site,Other,OR,93.8496,134.1808,114.0152
Critical Facilities Engineer ,Experis,"Bothell, WA","$45/hr · 401(k), Vision",On-site,Tech,WA,93.6,93.6,93.6
LPN/LVN - SNF ,Russell Tobin,"Seward, AK","$1,748.76/week · Long-term Care · 401(k), +1",On-site,Other,AK,1.74876,1.74876,1.74876
Attorney - General Liability Associate - Regional Litigation Firm - Hybrid Remote,Lexitas Legal Talent Outsourcing,"New York, NY",$100K/yr - $160K/yr,Hybrid,Retail,NY,100.0,160.0,130.0
Mixed-Use Owner's Representative ,WhiteCap Search,"New York, NY",$100K/yr - $160K/yr,On-site,Other,NY,100.0,160.0,130.0
